Parcel ID,Address,Ward,Neigh,AssN,Usage,Description,BldgSF,Front,Side1,LotSF,Add#,Street Name
43870001800,4910 San Francisco Av,1,69,301,Residential,1 Story Brick Residence,1127,28.0,135.0,3170.0,4910,San Francisco
54640000200,4960 Margaretta Av,1,69,301,Residential,2 Story Frame Residence,1330,35.0,118.95,4163.0,4960,Margaretta
43831700610,4122 Clara Pl,1,69,302,Residential,1 Story Frame Residence,560,75.0,110.0,8192.645155,4122,Clara
43831702200,4113 Walbridge Pl,1,69,302,Residential,1 Story Frame Residence **,630,25.0,110.0,2750.0,4113,Walbridge
43831702400,4107 Walbridge Pl,1,69,302,Residential,1 Story Frame Residence,952,50.0,110.0,3150.0,4107,Walbridge
54630001000,4936 Farlin Av,1,69,302,Residential,2 Story Frame Residence,1184,30.0,120.0,3600.0,4936,Farlin
50910000800,4926 Geraldine Av,1,71,326,Residential,2 Story Frame Residence **,970,33.33,127.5,4388.0,4926,Geraldine
50800001600,5452 Geraldine Av,1,71,327,Residential,2 Story Frame Residence,1440,30.0,127.5,3825.0,5452,Geraldine
50810001300,5448 Union Blvd,1,71,327,Residential,1 Story Frame Residence **,957,33.33,127.5,3961.0,5448,Union
50810001800,5462 Union Blvd,1,71,327,Residential,1 Story Brick Residence,760,25.0,127.5,2827.0,5462,Union
50840001000,5334 Union Blvd,1,71,327,Residential,1.5 Story Frame Residence,1197,25.0,127.5,3188.0,5334,Union
50840002100,5370 Union Blvd,1,71,327,Residential,1 Story Brick Residence,880,25.0,127.5,3187.0,5370,Union
50840004200,5321 Geraldine Av,1,71,327,Residential,1 Story Frame Residence,920,25.0,127.5,3211.0,5321,Geraldine
50850000300,5306 Geraldine Av,1,71,327,Residential,2 Story Frame Residence,1488,25.0,127.5,3237.0,5306,Geraldine
50860002100,5064 Geraldine Av,1,71,327,Residential,1 Story Frame Residence,721,25.0,127.5,3113.0,5064,Geraldine
50860002200,5066 Geraldine Av,1,71,327,Residential,1 Story Frame Residence,782,25.0,127.5,3230.0,5066,Geraldine
50870001100,5028 Union Blvd,1,71,327,Residential,1 Story Brick Residence,917,25.0,128.0,3054.0,5028,Union
50870002700,5072 Union Blvd,1,71,327,Residential,2 Story Frame Residence,990,30.0,128.0,3840.0,5072,Union
50880000800,5030 Claxton Av,1,71,327,Residential,1 Story Brick Residence,702,29.0,125.0,3467.0,5030,Claxton
50880003500,5091 Union Blvd,1,71,327,Residential,2 Story Frame Residence,1080,25.0,120.6,2770.0,5091,Union
52610001000,4949 Harney Av,1,71,329,Residential,1 Story Frame Residence,1120,50.0,112.5,5479.0,4949,Harney
52620002700,4966 Harney Av,1,71,329,Residential,1 Story Frame Residence,722,25.0,112.5,2812.0,4966,Harney
54660000200,4917 Ashby Av,1,71,329,Residential,2 Story Frame Residence,945,30.0,112.5,3375.0,4917,Ashby
54660000700,4935 Ashby Av,1,71,329,Residential,2 Story Frame Residence,1088,25.0,112.6,2848.0,4935,Ashby
44980000900,5234 St Louis Av,1,52,343,Residential,1 Story Brick Residence,680,46.83,137.5,6325.0,5234,St Louis
44980001700,5239 Terry Av,1,52,343,Residential,1 Story Brick Residence,970,25.16,142.5,3576.0,5239,Terry
44980001800,5243 Terry Av,1,52,343,Residential,1 Story Brick Residence,867,31.1,142.5,4432.0,5243,Terry
44990500600,5206 St Louis Av,1,52,343,Residential,1 Story Brick Residence,852,27.5,137.5,3781.0,5206,St Louis
44990501400,5140 St Louis Av,1,52,343,Residential,1 Story Brick Residence,1012,33.33,137.0,5295.0,5140,St Louis
45000100400,5044 Terry Av,1,52,343,Residential,1 Story Brick Residence,990,25.0,150.0,3731.0,5044,Terry
45060003250,5101 Cote Brilliante Av,1,52,343,Residential,1.5 Story Brick Residence,1472,29.0,148.6,4576.0,5101,Cote Brilliante
45110001800,5212 Cote Brilliante Av,1,52,343,Residential,2 Story Frame Residence,896,30.0,150.0,4757.0,5212,Cote Brilliante
50280000800,5238 Terry Av,1,52,343,Residential,1 Story Brick Residence,996,28.0,142.5,3975.0,5238,Terry
50280003200,2812 Union Blvd,1,52,343,Residential,1 Story Brick Residence,858,25.0,135.0,3172.0,2812,Union
45190102400,3321 William Pl,1,50,344,Residential,1.5 Story Frame Residence,882,25.0,109.0,2533.0,3321,William
52470002000,5321 Labadie Av,1,50,344,Residential,2.5 Story Frame Residence,1320,40.0,133.0,5320.0,5321,Labadie
42880002400,8917 Newby St,2,74,333,Residential,1 Story Frame Residence,1005,25.0,127.5,3187.0,8917,Newby
54340000600,8984 Edna St,2,74,333,Residential,1 Story Frame Residence,900,30.0,127.5,3922.0,8984,Edna
52760001500,928 Canaan Av,2,74,334,Residential,1 Story Frame Residence,880,70.0,137.5,8803.0,928,Canaan
52760002400,870 Canaan Av,2,74,334,Residential,2 Story Frame Residence,1344,30.0,137.5,4620.0,870,Canaan
53990002400,868 Harlan Av,2,74,334,Residential,2 Story Frame Residence,1104,25.0,127.5,2657.758,868,Harlan
53990002600,864 Harlan Av,2,74,334,Residential,1 Story Brick Residence,1188,50.0,127.5,6244.0,864,Harlan
53990003100,845 Elias Av,2,74,334,Residential,1.5 Story Frame Residence,1440,40.0,127.5,5383.0,845,Elias
53990005700,979 Elias Av,2,74,334,Residential,1.5 Story Frame Residence,1049,42.0,127.5,5519.0,979,Elias
54000003400,875 Harlan Av,2,74,334,Residential,1 Story Frame Residence,768,37.6,121.9,5030.0,875,Harlan
54010001200,8653 N Broadway,2,74,334,Residential,1 Story Frame Residence,714,25.0,120.0,3000.0,8653,Broadway
42500000600,1034 Gimblin St,2,74,335,Residential,2 Story Frame Residence,1184,50.0,150.0,7500.0,1034,Gimblin
42300001100,7861 Hall St,2,74,336,Residential,1 Story Frame Residence,1179,36.7,94.48,2911.0,7861,Hall
42930002200,8425 Lowell St,2,74,336,Residential,1 Story Concrete Block Residence,705,28.1,107.1,2219.0,8425,Lowell
42930004000,8446 Lowell La,2,74,336,Residential,1 Story Concrete Block Residence,512,28.83,107.83,2334.5792045,8446,Lowell
42930004100,8450 Lowell La,2,74,336,Residential,1 Story Concrete Block Residence,512,28.83,107.75,2383.505467,8450,Lowell
56300001300,600 Logan St,2,74,336,Residential,1 Story Frame Residence,816,41.0,127.5,6702.0,600,Logan
48720002400,3729 Maffitt Av,3,59,309,Residential,2 Story Brick Residence,1184,25.0,140.0,3500.0,3729,Maffitt
23900000300,3642 Hebert St,3,59,310,Residential,1 Story Brick Residence,1074,25.0,162.18,3921.0,3642,Hebert
23910002000,3641 Hebert St,3,59,310,Residential,1 Story Brick Residence,967,25.0,162.0,3913.0,3641,Hebert
23910002200,3647 Hebert St,3,59,310,Residential,1 Story Brick Residence,1074,25.0,162.0,4092.0,3647,Hebert
24870001800,4246 Gano Av,3,67,311,Residential,1 Story Brick Residence,1089,25.0,107.5,2806.0,4246,Gano
24880000300,3736 Penrose St,3,67,311,Residential,1 Story Frame Residence,603,35.0,102.58,3428.0,3736,Penrose
33540001200,4230 Desoto Av,3,67,311,Residential,1 Story Brick Residence,943,25.0,120.0,2909.0,4230,Desoto
33540002800,4241 Prairie Av,3,67,311,Residential,2 Story Frame Residence,1286,20.0,120.0,2325.0,4241,Prairie
33540003400,4227 Prairie Av,3,67,311,Residential,2 Story Brick Residence,1302,50.0,120.0,6025.0,4227,Prairie
33540003600,4219 Prairie Av,3,67,311,Residential,1 Story Brick Residence,666,25.0,120.0,2787.0,4219,Prairie
33550003100,4227 Desoto Av,3,67,311,Residential,2 Story Brick Residence,1496,25.0,125.0,2903.0,4227,Desoto
33560003100,4349 Desoto Av,3,67,311,Residential,1 Story Frame Residence,834,25.0,120.0,3000.0,4349,Desoto
33560003200,4347 Desoto Av,3,67,311,Residential,2 Story Frame Residence,875,25.0,120.0,2778.0,4347,Desoto
33940002800,4347 Linton Av,3,67,311,Residential,1 Story Brick Residence,720,25.0,120.0,3000.0,4347,Linton
33940003000,4341 Linton Av,3,67,311,Residential,1 Story Brick Residence,1146,25.0,120.0,2764.0,4341,Linton
35770001250,3909 Lee Av,3,67,311,Residential,1 Story Brick & Frame Residence,800,25.0,109.7,2605.0,3909,Lee
35780001000,3810 Penrose St,3,67,311,Residential,2 Story Frame Residence,1414,25.0,108.0,2700.0,3810,Penrose
35870006400,3917 Sherman Pl,3,67,311,Residential,1 Story Brick Residence,799,25.0,110.0,2726.0,3917,Sherman
24740000700,1532 John Av,3,66,312,Residential,3 Story Brick Residence,1496,29.0,110.0,3070.0,1532,John
24760000500,2034 Gano Av,3,66,312,Residential,1 Story Brick Residence,774,25.0,110.0,2750.0,2034,Gano
33080000200,2144 E Prairie Av,3,66,312,Residential,1.5 Story Brick Residence,833,50.0,112.15,5139.0,2144,Prairie
33080001800,2115 Gano Av,3,66,312,Residential,2 Story Frame Residence,1134,25.0,112.5,2813.0,2115,Gano
